"Region","Mean_Population_2023","SD_Population_2023"
"ASIA (EX. NEAR EAST)",177508929.333333,393576392.794704
"EASTERN EUROPE",10608992.6666667,11720846.1533912
"NORTHERN AFRICA",36416389.8333333,42231388.7201983
"OCEANIA",2389529.31578947,6358482.29401795
"WESTERN EUROPE",15375061.2142857,24775550.822142
"SUB-SAHARAN AFRICA",25100105.6,39281766.8094684
"LATIN AMER. & CARIB",17739952.6486486,40285145.172233
"C.W. OF IND. STATES",24436280.75,39920229.2279241
"NEAR EAST",20106226.2142857,24223636.956774
"NORTHERN AMERICA",95724275.75,166201239.694458
"BALTICS",2034566.33333333,755044.386265028
